"pkgSchema","pkgName","qualifiedName","sourceFilename"
"DBM","AABSCVA","AABSCVA","AABSCVA.CBL"
"DBM","AABSFKM","AABSFKM","AABSFKM.CBL"
"DBM","AABSFKN","AABSFKN","AABSFKN.CBL"
"DBM","AABSHOPA","AABSHOPA","AABSHOPA.CBL"
"DBM","AABSHOPT","AABSHOPT","AABSHOPT.CBL"
"DBM","AABSIGN","AABSIGN","AABSIGN.CBL"
"DBM","AABSLBP","AABSLBP","AABSLBP.CBL"
"DBM","AABSLET","AABSLET","AABSLET.CBL"
"DBM","AABSLVA","AABSLVA","AABSLVA.CBL"
"DBM","AABSPESK","AABSPESK","AABSPESK.CBL"
"DBM","AABSVEG","AABSVEG","AABSVEG.CBL"
"DBM","AABTEM2","AABTEM2","AABTEM2.CBL"
"DBM","AABTEMP","AABTEMP","AABTEMP.CBL"
"DBM","AABUENH3","AABUENH3","AABUENH3.CBL"
"DBM","AABUENHU","AABUENHU","AABUENHU.CBL"
"DBM","AABUPPR","AABUPPR","AABUPPR.CBL"
"DBM","AABUVAR","AABUVAR","AABUVAR.CBL"
"DBM","AABVARY","AABVARY","AABVARY.CBL"
"DBM","AABVGRL","AABVGRL","AABVGRL.CBL"
"DBM","AABVGRS","AABVGRS","AABVGRS.CBL"
"DBM","AABVGRU","AABVGRU","AABVGRU.CBL"
"DBM","AABVKUR","AABVKUR","AABVKUR.CBL"
"DBM","AABVTIK","AABVTIK","AABVTIK.CBL"
"DBM","AABVTIN","AABVTIN","AABVTIN.CBL"
"DBM","AAFALTI","AAFALTI","AAFALTI.CBL"
"DBM","AAFAVDN","AAFAVDN","AAFAVDN.CBL"
"DBM","AAFBRUK","AAFBRUK","AAFBRUK.CBL"
"DBM","AAFCPFO","AAFCPFO","AAFCPFO.CBL"
"DBM","AAFENGP","AAFENGP","AAFENGP.CBL"
"DBM","AAFEREG","AAFEREG","AAFEREG.CBL"
"DBM","AAFGROS","AAFGROS","AAFGROS.CBL"
"DBM","AAFKART","AAFKART","AAFKART.CBL"
"DBM","AAFKEPO","AAFKEPO","AAFKEPO.CBL"
"DBM","AAFKONA","AAFKONA","AAFKONA.CBL"
"DBM","AAFKSAL","AAFKSAL","AAFKSAL.CBL"
"DBM","AAFKTOP","AAFKTOP","AAFKTOP.CBL"
"DBM","AAFKUEN","AAFKUEN","AAFKUEN.CBL"
"DBM","AAFKUPR","AAFKUPR","AAFKUPR.CBL"
"DBM","AAFKURE","AAFKURE","AAFKURE.CBL"
"DBM","AAFKWEB","AAFKWEB","AAFKWEB.CBL"
"DBM","AAFLEAD","AAFLEAD","AAFLEAD.CBL"
"DBM","AAFLEAV","AAFLEAV","AAFLEAV.CBL"
"DBM","AAFLEFO","AAFLEFO","AAFLEFO.CBL"
"DBM","AAFLEMA","AAFLEMA","AAFLEMA.CBL"
"DBM","AAFLUTA","AAFLUTA","AAFLUTA.CBL"
"DBM","AAFM001","AAFM001","AAFM001.CBL"
"DBM","AAFM002","AAFM002","AAFM002.CBL"
"DBM","AAFM003","AAFM003","AAFM003.CBL"
"DBM","AAFM004","AAFM004","AAFM004.CBL"
"DBM","AAFM008","AAFM008","AAFM008.CBL"
"DBM","AAFM009","AAFM009","AAFM009.CBL"
"DBM","AAFM010","AAFM010","AAFM010.CBL"
"DBM","AAFM013","AAFM013","AAFM013.CBL"
"DBM","AAFM015","AAFM015","AAFM015.CBL"
"DBM","AAFM017","AAFM017","AAFM017.CBL"
"DBM","AAFM019","AAFM019","AAFM019.CBL"
"DBM","AAFM020","AAFM020","AAFM020.CBL"
"DBM","AAFM021","AAFM021","AAFM021.CBL"
"DBM","AAFM022","AAFM022","AAFM022.CBL"
"DBM","AAFM023","AAFM023","AAFM023.CBL"
"DBM","AAFM024","AAFM024","AAFM024.CBL"
"DBM","AAFM025","AAFM025","AAFM025.CBL"
"DBM","AAFM026","AAFM026","AAFM026.CBL"
"DBM","AAFM028","AAFM028","AAFM028.CBL"
"DBM","AAFM030","AAFM030","AAFM030.CBL"
"DBM","AAFM031","AAFM031","AAFM031.CBL"
"DBM","AAFM033","AAFM033","AAFM033.CBL"
"DBM","AAFM034","AAFM034","AAFM034.CBL"
"DBM","AAFM038","AAFM038","AAFM038.CBL"
"DBM","AAFM043","AAFM043","AAFM043.CBL"
"DBM","AAFM044","AAFM044","AAFM044.CBL"
"DBM","AAFM047","AAFM047","AAFM047.CBL"
"DBM","AAFM048","AAFM048","AAFM048.CBL"
"DBM","AAFM049","AAFM049","AAFM049.CBL"
"DBM","AAFM050","AAFM050","AAFM050.CBL"
"DBM","AAFM051","AAFM051","AAFM051.CBL"
"DBM","AAFM052","AAFM052","AAFM052.CBL"
"DBM","AAFM053","AAFM053","AAFM053.CBL"
"DBM","AAFM054","AAFM054","AAFM054.CBL"
"DBM","AAFM055","AAFM055","AAFM055.CBL"
"DBM","AAFM057","AAFM057","AAFM057.CBL"
"DBM","AAFM058","AAFM058","AAFM058.CBL"
"DBM","AAFM061","AAFM061","AAFM061.CBL"
"DBM","AAFM062","AAFM062","AAFM062.CBL"
"DBM","AAFMASO","AAFMASO","AAFMASO.CBL"
"DBM","AAFMAUT","AAFMAUT","AAFMAUT.CBL"
"DBM","AAFMAVI","AAFMAVI","AAFMAVI.CBL"
"DBM","AAFMAVO","AAFMAVO","AAFMAVO.CBL"
"DBM","AAFMTYP","AAFMTYP","AAFMTYP.CBL"
"DBM","AAFPRPR","AAFPRPR","AAFPRPR.CBL"
"DBM","AAFSELG","AAFSELG","AAFSELG.CBL"
"DBM","AAFSOEG","AAFSOEG","AAFSOEG.CBL"
"DBM","AAFTKOL","AAFTKOL","AAFTKOL.CBL"
"DBM","AAFTKON","AAFTKON","AAFTKON.CBL"
"DBM","AAFVEAN","AAFVEAN","AAFVEAN.CBL"
"DBM","AAFVIKI","AAFVIKI","AAFVIKI.CBL"
"DBM","AAFVKSI","AAFVKSI","AAFVKSI.CBL"
"DBM","AAFVRES","AAFVRES","AAFVRES.CBL"
"DBM","AAHABC1","AAHABC1","AAHABC1.CBL"
"DBM","AAHAKRA","AAHAKRA","AAHAKRA.CBL"
"DBM","AAHALTP","AAHALTP","AAHALTP.CBL"
"DBM","AAHAVEB","AAHAVEB","AAHAVEB.CBL"
"DBM","AAHBANK","AAHBANK","AAHBANK.CBL"
"DBM","AAHBYBH","AAHBYBH","AAHBYBH.CBL"
"DBM","AAHBYVG","AAHBYVG","AAHBYVG.CBL"
"DBM","AAHDISP","AAHDISP","AAHDISP.CBL"
"DBM","AAHEDIV","AAHEDIV","AAHEDIV.CBL"
"DBM","AAHEHF2","AAHEHF2","AAHEHF2.CBL"
"DBM","AAHEHSV","AAHEHSV","AAHEHSV.CBL"
"DBM","AAHERAL","AAHERAL","AAHERAL.CBL"
"DBM","AAHERNO","AAHERNO","AAHERNO.CBL"
"DBM","AAHERST","AAHERST","AAHERST.CBL"
"DBM","AAHFKVA","AAHFKVA","AAHFKVA.CBL"
"DBM","AAHGROS","AAHGROS","AAHGROS.CBL"
"DBM","AAHGROX","AAHGROX","AAHGROX.CBL"
"DBM","AAHINKU","AAHINKU","AAHINKU.CBL"
"DBM","AAHKAKU","AAHKAKU","AAHKAKU.CBL"
