"File","FullPath","Extension","Risk","Disqualifiers","HitCount"
"GMBFORF.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFORF.CBL",".CBL","HIGH","C3","9"
"GMBFRPA.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFRPA.CBL",".CBL","HIGH","C3","9"
"GMBGINK.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBGINK.CBL",".CBL","HIGH","C3,B-FILEIO","12"
"GMBHENU.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBHENU.CBL",".CBL","HIGH","C3,B-FILEIO","10"
"GMBINNK.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBINNK.CBL",".CBL","HIGH","C3","11"
"GMBKID1.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBKID1.CBL",".CBL","HIGH","C3","9"
"GMBKSAL.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBKSAL.CBL",".CBL","HIGH","C3","10"
"GMBLIFO.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBLIFO.CBL",".CBL","HIGH","C3,B-FILEIO","22"
"GMBLSQL.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBLSQL.CBL",".CBL","HIGH","C3","12"
"GMBMVAG.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBMVAG.CBL",".CBL","HIGH","C3","10"
"GMBNUAL.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBNUAL.CBL",".CBL","LOW","NONE","0"
"GMBOPPS.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBOPPS.CBL",".CBL","HIGH","C3","9"
"GMBPID.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBPID.CBL",".CBL","HIGH","C3","14"
"GMBPLDG.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBPLDG.CBL",".CBL","LOW","NONE","0"
"GMBPLID.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBPLID.CBL",".CBL","HIGH","C3","19"
"GMBPROP.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBPROP.CBL",".CBL","LOW","NONE","0"
"GMBPRTR.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBPRTR.CBL",".CBL","HIGH","C3","9"
"GMBQMF8.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBQMF8.CBL",".CBL","LOW","NONE","0"
"GMBRANDO.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBRANDO.CBL",".CBL","LOW","NONE","0"
"GMBRCKO.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBRCKO.CBL",".CBL","MEDIUM","B-FILEIO","5"
"GMBSEMA.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBSEMA.CBL",".CBL","LOW","NONE","0"
"GMBSEMA2.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBSEMA2.CBL",".CBL","LOW","NONE","0"
"GMBSIM2.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBSIM2.CBL",".CBL","HIGH","C3","17"
"GMBSIM3.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBSIM3.CBL",".CBL","HIGH","C3","16"
"GMBSIMU.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBSIMU.CBL",".CBL","HIGH","C3","17"
"GMBSLEEP.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBSLEEP.CBL",".CBL","LOW","NONE","0"
"GMBSONO.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBSONO.CBL",".CBL","HIGH","C3","10"
"GMBSPL1.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBSPL1.CBL",".CBL","HIGH","C3","9"
"GMBTITP.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBTITP.CBL",".CBL","HIGH","C3,B-FILEIO","11"
"GMBTLFU.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBTLFU.CBL",".CBL","HIGH","C3","9"
"GMBTRAP.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBTRAP.CBL",".CBL","HIGH","C3","11"
"GMBVATV.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBVATV.CBL",".CBL","HIGH","C3","9"
"GMBX91.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBX91.CBL",".CBL","HIGH","C3","9"
"GMBXLS.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBXLS.CBL",".CBL","HIGH","C3","9"
"GMDCLI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMDCLI.CBL",".CBL","LOW","NONE","0"
"GMDTILLNY.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMDTILLNY.CBL",".CBL","HIGH","C3","35"
"GMFADRI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMFADRI.CBL",".CBL","HIGH","C3","22"
